,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label
78965,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,64400,1,3484,0,1
44371,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,8014,1,0,0,1
47561,17,0.0,65,1,65,1,0,0,0,0,0,0,0,0,65,65,65,65,65.0,65.0,0,0,0,0,520000,520000,2,0,0,0,0,0,0,0,0,52349,28,0,0,1
55642,17,0.0,70,1,228,1,0,0,0,0,0,0,0,0,228,70,70,228,70.0,228.0,0,0,0,0,560000,1824000,1,1,0,0,0,0,0,0,0,59836,1,9,0,1
49522,6,91.0,164,3,112,2,19,18,19,4294418,549,205,64,64,60,52,52,60,164.0,112.0,0,0,0,0,0,0,5,0,0,0,0,29200,28960,0,0,0,0,0,0,1
31461,17,0.0,76,1,76,1,0,0,0,0,0,0,0,0,76,76,76,76,76.0,76.0,0,0,0,0,608000,608000,2,0,0,0,0,0,0,0,0,16732,1,0,0,1
29516,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,45678,1,36,0,1
46368,17,0.0,50,1,50,1,0,0,0,0,0,0,0,0,50,50,50,50,50.0,50.0,0,0,0,0,400000,400000,2,0,0,0,0,0,0,0,0,18900,1,0,0,1
47130,6,7.0,2703,10,2125,9,27,27,27,4293946,1021,1021,64,64,1500,52,52,1500,2162487.0,7511374.0,0,0,0,0,880000,688000,15,0,0,2,2,29200,28960,0,0,0,0,0,0,1
32939,6,7.0,484,9,420,7,18,18,18,4294499,468,468,64,64,60,52,52,60,216268.0,180240.0,0,0,0,0,104000,88000,16,0,0,0,0,29200,5792,0,0,0,0,0,0,1
39265,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,29654,28,0,0,1
19563,6,1.0,4,1,84,1,24,24,0,0,0,0,64,64,105,52,52,105,693.0,617.0,0,0,0,0,3688000,3656000,20,0,0,0,0,0,46,0,0,0,0,0,331,1
12657,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,9139,1,58,0,1
7643,17,0.0,71,1,71,1,0,0,0,0,0,0,0,0,71,71,71,71,71.0,71.0,0,0,0,0,568000,568000,2,0,0,0,0,0,0,0,0,29460,1,0,0,1
67264,17,0.0,72,1,0,0,0,0,0,0,0,0,0,0,72,72,0,72,72.0,0.0,0,0,0,0,576000,0,1,0,0,0,0,0,0,0,0,6595,12,0,0,1
21815,6,91.0,336,6,180,3,18,18,18,4294623,344,344,64,64,60,52,52,60,336.0,180.0,0,0,0,0,0,0,9,0,0,0,0,29200,28960,0,0,0,0,0,0,1
56501,6,7.0,740,5,617,4,27,27,27,0,0,0,64,64,560,40,40,560,740.0,617.0,0,0,0,0,5920000,4936000,7,0,1,1,0,29200,65535,0,0,0,0,0,0,1
18450,6,7.0,6589,10,2725,5,27,27,27,0,0,0,64,64,1500,52,52,1500,6589.0,2725.0,0,0,0,0,52712000,21800000,8,0,1,0,6,29200,28960,0,0,0,0,0,0,1
42097,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,37905,28,0,0,1
17308,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,24899,1,3543,0,1
19637,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,37726,28,0,0,1
20215,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,26952,1,57,0,1
43056,6,0.0,922,7,4642,14,26,26,26,0,0,0,64,64,1406,52,52,1406,922.0,4642.0,0,0,2632,8,7376000,37136000,8,2,10,0,1,29200,28960,0,0,0,0,0,0,1
22604,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,27186,1,3,0,1
71093,6,7.0,846,10,1840,10,27,27,27,4294514,453,453,64,64,705,52,52,705,846.0,1840.0,0,0,0,0,8000,32000,16,2,0,2,0,29200,28960,0,0,0,0,0,0,1
71257,6,7.0,703,10,771,7,27,27,27,4294624,343,343,64,64,507,40,40,507,703.0,771.0,0,0,0,0,16000,16000,15,0,2,0,0,29200,65535,0,0,0,0,0,0,1
21022,6,7.0,3031,7,1591,5,27,27,27,0,0,0,64,64,1500,52,52,1500,3031.0,1591.0,0,0,0,0,24248000,12728000,9,0,0,0,3,29200,28960,0,0,0,0,0,0,1
25469,6,91.0,328,6,120,2,18,18,18,4294513,454,391,64,64,60,52,52,60,164164.0,6060.0,0,0,0,0,8000,480000,8,0,0,0,0,29200,28960,0,0,0,0,0,0,1
37261,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,35930,1,0,0,1
85068,6,7.0,701,6,538,4,27,27,27,4294965,2,2,64,64,433,52,52,433,701.0,538.0,0,0,0,0,1864000,1432000,8,0,2,0,0,29200,5792,0,0,0,0,0,0,1
